"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"195";"target ~ sex1+fbs1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"196";"target ~ sex1+restecg0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"197";"target ~ sex1+restecg1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"198";"target ~ sex1+restecg2";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"199";"target ~ sex1+exang0";21;38;4;39;0.57843137254902;0.904761904761905;0.35
"200";"target ~ sex1+exang1";21;38;4;39;0.57843137254902;0.904761904761905;0.35
"201";"target ~ sex1+slope0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"202";"target ~ sex1+slope1";14;38;4;46;0.509803921568627;0.904761904761905;0.233333333333333
"203";"target ~ sex1+slope2";12;41;1;48;0.519607843137255;0.976190476190476;0.2
"204";"target ~ sex1+ca0";19;40;2;41;0.57843137254902;0.952380952380952;0.316666666666667
"205";"target ~ sex1+ca1";22;36;6;38;0.568627450980392;0.857142857142857;0.366666666666667
"206";"target ~ sex1+ca2";20;38;4;40;0.568627450980392;0.904761904761905;0.333333333333333
"207";"target ~ sex1+ca3";23;36;6;37;0.57843137254902;0.857142857142857;0.383333333333333
"208";"target ~ sex1+ca4";25;34;8;35;0.57843137254902;0.80952380952381;0.416666666666667
"209";"target ~ sex1+thal0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"210";"target ~ sex1+thal1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"211";"target ~ sex1+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"212";"target ~ sex1+thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"213";"target ~ cp0+cp1";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"214";"target ~ cp0+cp2";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"215";"target ~ cp0+cp3";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"216";"target ~ cp0+fbs0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"217";"target ~ cp0+fbs1";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"218";"target ~ cp0+restecg0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"219";"target ~ cp0+restecg1";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"220";"target ~ cp0+restecg2";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"221";"target ~ cp0+exang0";41;35;7;19;0.745098039215686;0.833333333333333;0.683333333333333
"222";"target ~ cp0+exang1";41;35;7;19;0.745098039215686;0.833333333333333;0.683333333333333
"223";"target ~ cp0+slope0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"224";"target ~ cp0+slope1";32;41;1;28;0.715686274509804;0.976190476190476;0.533333333333333
"225";"target ~ cp0+slope2";28;41;1;32;0.676470588235294;0.976190476190476;0.466666666666667
"226";"target ~ cp0+ca0";34;40;2;26;0.725490196078431;0.952380952380952;0.566666666666667
"227";"target ~ cp0+ca1";39;38;4;21;0.754901960784314;0.904761904761905;0.65
"228";"target ~ cp0+ca2";44;36;6;16;0.784313725490196;0.857142857142857;0.733333333333333
