"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"288";"target ~ cp3+ca2";57;12;30;3;0.676470588235294;0.285714285714286;0.95
"289";"target ~ cp3+ca3";58;2;40;2;0.588235294117647;0.0476190476190476;0.966666666666667
"290";"target ~ cp3+ca4";60;0;42;0;0.588235294117647;0;1
"291";"target ~ cp3+thal0";60;0;42;0;0.588235294117647;0;1
"292";"target ~ cp3+thal1";60;0;42;0;0.588235294117647;0;1
"293";"target ~ cp3+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"294";"target ~ cp3+thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"295";"target ~ fbs0+fbs1";60;0;42;0;0.588235294117647;0;1
"296";"target ~ fbs0+restecg0";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"297";"target ~ fbs0+restecg1";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"298";"target ~ fbs0+restecg2";60;0;42;0;0.588235294117647;0;1
"299";"target ~ fbs0+exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
