"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"neuralNet: target ~ cp2+ca0+thal1+thal2";41;41;6;14;0.803921568627451;0.872340425531915;0.745454545454545
"neuralNet: target ~ cp2+ca0+thal1+thal2";47;40;6;9;0.852941176470588;0.869565217391304;0.839285714285714
"neuralNet: target ~ cp2+ca0+thal1+thal2";51;38;4;9;0.872549019607843;0.904761904761905;0.85
"neuralNet: target ~ cp2+ca0+thal1+thal2";39;42;7;14;0.794117647058823;0.857142857142857;0.735849056603774
"neuralNet: target ~ cp2+ca0+thal1+thal2";49;36;5;12;0.833333333333333;0.878048780487805;0.80327868852459
"neuralNet: target ~ cp2+ca0+thal1+thal2";48;39;6;9;0.852941176470588;0.866666666666667;0.842105263157895
"neuralNet: target ~ cp2+ca0+thal1+thal2";42;42;6;12;0.823529411764706;0.875;0.777777777777778
"neuralNet: target ~ cp2+ca0+thal1+thal2";43;43;6;10;0.843137254901961;0.877551020408163;0.811320754716981
"neuralNet: target ~ cp2+ca0+thal1+thal2";47;41;4;10;0.862745098039216;0.911111111111111;0.824561403508772
"neuralNet: target ~ cp2+ca0+thal1+thal2";38;38;10;16;0.745098039215686;0.791666666666667;0.703703703703704
"neuralNet: target ~ cp2+ca0+thal1+thal2";46;35;8;13;0.794117647058823;0.813953488372093;0.779661016949153
