"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"241";"target ~ cp1+restecg2";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"242";"target ~ cp1+exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"243";"target ~ cp1+exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"244";"target ~ cp1+slope0";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"245";"target ~ cp1+slope1";45;24;18;15;0.676470588235294;0.571428571428571;0.75
"246";"target ~ cp1+slope2";41;31;11;19;0.705882352941177;0.738095238095238;0.683333333333333
"247";"target ~ cp1+ca0";49;28;14;11;0.754901960784314;0.666666666666667;0.816666666666667
"248";"target ~ cp1+ca1";54;13;29;6;0.656862745098039;0.30952380952381;0.9
"249";"target ~ cp1+ca2";58;12;30;2;0.686274509803922;0.285714285714286;0.966666666666667
"250";"target ~ cp1+ca3";58;2;40;2;0.588235294117647;0.0476190476190476;0.966666666666667
"251";"target ~ cp1+ca4";14;39;3;46;0.519607843137255;0.928571428571429;0.233333333333333
"252";"target ~ cp1+thal0";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"253";"target ~ cp1+thal1";12;40;2;48;0.509803921568627;0.952380952380952;0.2
"254";"target ~ cp1+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"255";"target ~ cp1+thal3";48;28;14;12;0.745098039215686;0.666666666666667;0.8
"256";"target ~ cp2+cp3";32;37;5;28;0.676470588235294;0.880952380952381;0.533333333333333
"257";"target ~ cp2+fbs0";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"258";"target ~ cp2+fbs1";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"259";"target ~ cp2+restecg0";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"260";"target ~ cp2+restecg1";43;26;16;17;0.676470588235294;0.619047619047619;0.716666666666667
